class,order,family,genus,genus,lvl_dvp,hbt,lat,lat_n,lat_s,length_avg,width_avg,length_max,width_max,fecundity,weight_avg,weight_max
malacostraca,decapoda,portunidae,portunus,gibbesii,NA,benthopelagic,62.926,39.22303333,-23.7033,NA,NA,37,76,NA,NA,NA
malacostraca,decapoda,portunidae,callinectes,ornatus,planktotrophic,benthopelagic,67.977,35.19400024,-32.78333333,NA,NA,130,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,volutopsius,middendorffii,NA,benthic,NA,NA,NA,110,60,NA,NA,NA,NA,NA
cephalopoda,myopsida,loliginidae,lolliguncula,brevis,direct,pelagic,81.917,43.90000153,-38.01699829,NA,NA,120,NA,NA,NA,NA
gastropoda,pleurobranchida,pleurobranchaeidae,pleurobranchaea,californica,planktotrophic,benthic,14.874,47.53177,32.65800095,NA,NA,210,NA,NA,NA,NA
malacostraca,decapoda,crangonidae,argis,dentata   ,lecithotrophic,benthic,29.009,71.50944,42.5,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,paguridae,pagurus,aleuticus,NA,benthic,10.766,"	56.916",46.15,NA,NA,NA,NA,NA,NA,NA
anthozoa,actiniaria,metridiidae,metridium,farcimen,NA,benthic,118,70,-48.3603,NA,NA,100,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,neptunea,pribiloffensis,direct,benthic,15.91,57.16,41.25,NA,NA,150,NA,NA,NA,NA
malacostraca,decapoda,paiphaeidae,pasiphaea,pacifica,NA,pelagic,28.629,60.6783,32.04999924,20,NA,22,NA,66,NA,NA
malacostraca,decapoda,crangonidae,pontophilus,norvegicus,planktotrophic,benthic,39.2101,73.44316667,34.23332977,NA,NA,75,NA,NA,NA,NA
malacostraca,decapoda,crangonidae,sabinea,sarsii,planktotrophic,benthopelagic,32.7321,71.414935,38.68299866,NA,NA,NA,NA,NA,NA,NA
scyphozoa,semaeostomeae,pelagiidae,chrysaora,melanaster,NA,pelagic,59.4,69,10,NA,NA,600,300,NA,NA,NA
gastropoda,neogastropoda,cochlespiridae,aforia,circinata,planktotrophic ,NA,20.7631,"	59.8667",39,19,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,portunidae,achelous,spinicarpus ,planktotrophic,NA,67.55,34.8666687,-32.68333333,23,NA,NA,NA,NA,NA,NA
ascidiacea,stolidobranchia,pyuridae,boltenia,ovifera,lecithotrophic,NA,41.14,81.23999786,40.09999847,NA,NA,80,NA,NA,NA,NA
anthozoa,actiniaria,liponematidae,liponema,brevicorne  ,NA,NA,22.379,55.50999832,33.13000107,NA,NA,NA,NA,NA,NA,NA
