#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2020,1,1,20,10,293,12.6,16.8,99,99,99,999,1008.6,5.3,10.3,-2.5,99,99
2020,1,1,20,20,296,11.9,16.1,99,99,99,999,1008.7,5.4,10.3,-2.5,99,99
2020,1,1,20,30,300,12,15.3,99,99,99,999,1008.8,5.4,10.3,-2.7,99,99
2020,1,1,20,40,296,11.1,14.8,2.75,7.14,5.72,293,1009,5.4,10.3,-2.5,99,99
2020,1,1,20,50,297,11.5,16.4,99,99,99,999,1009.1,5.5,10.3,-2,99,99
2020,1,1,21,0,305,11.8,15,99,99,99,999,1009.5,5.5,10.3,-1.8,99,99
2020,1,1,21,10,299,11.9,16.3,99,99,99,999,1009.6,5.5,10.3,-1.9,99,99
2020,1,1,21,20,293,11.9,15.1,99,99,99,999,1009.8,5.5,10.3,-2.2,99,99
2020,1,1,21,30,298,11.7,15,99,99,99,999,1009.8,5.4,10.3,-2.3,99,99
2020,1,1,21,40,295,11.8,15.3,2.59,7.14,5.57,302,1009.8,5.5,10.3,-2.2,99,99
2020,1,1,21,50,294,11.8,15.2,99,99,99,999,1010.1,5.4,10.3,-2.5,99,99
2020,1,1,22,0,293,12.6,16.7,99,99,99,999,1010.2,5.5,10.3,-2.4,99,99
2020,1,1,22,10,300,11.5,15.4,99,99,99,999,1010.3,5.6,10.3,-1.9,99,99
2020,1,1,22,20,292,11.7,15.2,99,99,99,999,1010.6,5.6,10.3,-1.9,99,99
2020,1,1,22,30,294,12.6,17.3,99,99,99,999,1010.6,5.6,10.3,-2.1,99,99
2020,1,1,22,40,296,12.6,16.5,2.45,7.14,5.43,297,1010.7,5.5,10.3,-2.1,99,99
2020,1,1,22,50,297,12.5,16.5,99,99,99,999,1010.9,5.3,10.3,-2.5,99,99
2020,1,1,23,0,293,12.9,16.6,99,99,99,999,1011.1,5.4,10.3,-2.5,99,99
2020,1,1,23,10,294,12.9,16.2,99,99,99,999,1011.1,5.4,10.3,-2.5,99,99
2020,1,1,23,20,297,11.8,16.2,99,99,99,999,1011.2,5.4,10.3,-2.1,99,99
2020,1,1,23,30,296,12.6,16.4,99,99,99,999,1011.3,5.3,10.3,-2.5,99,99
2020,1,1,23,40,296,12.5,15.5,2.13,7.14,5.25,298,1011.3,5.4,10.3,-2.1,99,99
2020,1,1,23,50,296,13,15.7,99,99,99,999,1011.3,5.4,10.3,-2,99,99
2020,1,2,0,0,300,12.5,16,99,99,99,999,1011.7,5.3,10.3,-2.1,99,99
2020,1,2,0,10,300,12.3,15.5,99,99,99,999,1011.7,5.4,10.3,-2.1,99,99
2020,1,2,0,20,300,11.8,15.4,99,99,99,999,1012.1,5.3,10.3,-2.2,99,99
2020,1,2,0,30,298,11.5,14.9,99,99,99,999,1012.2,5.3,10.3,-2.2,99,99
2020,1,2,0,40,295,11.2,15.1,2.38,6.67,5.48,293,1012.3,5.4,10.3,-1.9,99,99
2020,1,2,0,50,296,11.3,13.6,99,99,99,999,1012.3,5.4,10.3,-2,99,99
2020,1,2,1,0,298,11.2,14.1,99,99,99,999,1012.5,5.5,10.3,-1.8,99,99
2020,1,2,1,10,297,11,14.6,99,99,99,999,1012.6,5.5,10.3,-1.9,99,99
2020,1,2,1,20,292,10.6,13.4,99,99,99,999,1012.7,5.5,10.3,-1.9,99,99
2020,1,2,1,30,296,10.4,12.8,99,99,99,999,1012.7,5.6,10.3,-1.5,99,99
2020,1,2,1,40,303,9.9,13.2,2.21,7.14,5.47,302,1012.6,5.7,10.3,-1.3,99,99
2020,1,2,1,50,296,10.5,12.9,99,99,99,999,1012.6,5.6,10.3,-1.7,99,99
2020,1,2,2,0,299,10.6,13.1,99,99,99,999,1012.6,5.6,10.3,-1.6,99,99
2020,1,2,2,10,297,10.8,14.1,99,99,99,999,1012.8,5.7,10.3,-1.6,99,99
2020,1,2,2,20,298,10.5,13.5,99,99,99,999,1012.9,5.8,10.3,-1.1,99,99
2020,1,2,2,30,290,11.2,13.9,99,99,99,999,1012.9,5.7,10.3,-1.6,99,99
2020,1,2,2,40,297,11.2,13.6,2.15,7.14,5.3,311,1013.1,5.6,10.3,-1.8,99,99
2020,1,2,2,50,299,10.7,14.1,99,99,99,999,1013.1,5.7,10.3,-1.4,99,99
2020,1,2,3,0,301,11.1,13.7,99,99,99,999,1013.4,5.7,10.3,-1.6,99,99
2020,1,2,3,10,296,10.8,13.2,99,99,99,999,1013.4,5.7,10.3,-1.5,99,99
2020,1,2,3,20,299,10.5,13.2,99,99,99,999,1013.5,5.7,10.3,-1.8,99,99
2020,1,2,3,30,299,10.3,13.4,99,99,99,999,1013.5,5.8,10.3,-1.4,99,99
2020,1,2,3,40,298,10.8,13.6,2.07,6.25,5.26,299,1013.6,5.8,10.3,-1.6,99,99
2020,1,2,3,50,298,10.1,12.8,99,99,99,999,1013.7,5.8,10.3,-1.2,99,99
2020,1,2,4,0,298,10,12.3,99,99,99,999,1013.4,5.8,10.3,-1.4,99,99
2020,1,2,4,10,298,9.8,11.5,99,99,99,999,1013.4,5.7,10.3,-1.6,99,99
2020,1,2,4,20,299,10.3,12.4,99,99,99,999,1013.5,5.8,10.3,-1.8,99,99
2020,1,2,4,30,305,9.8,11.9,99,99,99,999,1013.5,5.8,10.3,-1.8,99,99
2020,1,2,4,40,296,10,13,2.17,6.67,5.4,304,1013.6,5.8,10.3,-1.6,99,99
2020,1,2,4,50,303,9.8,12.2,99,99,99,999,1013.6,5.9,10.3,-1.3,99,99
2020,1,2,5,0,303,9.9,12.2,99,99,99,999,1013.7,5.8,10.3,-1.6,99,99
2020,1,2,5,10,297,9.4,12.3,99,99,99,999,1013.6,5.9,10.3,-1.2,99,99
2020,1,2,5,20,296,9.6,11.7,99,99,99,999,1013.7,6,10.3,-1.1,99,99
2020,1,2,5,30,302,10.4,12.8,99,99,99,999,1013.8,6,10.3,-1.3,99,99
2020,1,2,5,40,300,9.5,11.9,2.02,6.25,5.24,310,1013.9,6,10.3,-1,99,99
2020,1,2,5,50,300,9.6,12.2,99,99,99,999,1013.9,6,10.3,-1.3,99,99
2020,1,2,6,0,302,10.2,12.9,99,99,99,999,1014.1,6,10.3,-1.9,99,99
2020,1,2,6,10,294,9,11.9,99,99,99,999,1014.3,6.1,10.3,-1.1,99,99
2020,1,2,6,20,291,9.4,11.7,99,99,99,999,1014.2,6.1,10.3,-1.3,99,99
2020,1,2,6,30,293,9.6,11.6,99,99,99,999,1014.2,6.1,10.3,-1.2,99,99
2020,1,2,6,40,291,10.3,12.6,1.69,6.67,4.8,312,1014.4,6.2,10.3,-1.3,99,99
2020,1,2,6,50,286,9.8,11.6,99,99,99,999,1014.5,6.2,10.3,-1.6,99,99
2020,1,2,7,0,291,9.9,12.8,99,99,99,999,1014.5,6.2,10.3,-1.7,99,99
2020,1,2,7,10,289,9.4,12.2,99,99,99,999,1014.5,6.2,10.3,-1.2,99,99
2020,1,2,7,20,296,9.1,12.5,99,99,99,999,1014.5,6.4,10.3,-0.6,99,99
2020,1,2,7,30,294,10.3,13.8,99,99,99,999,1014.5,6.4,10.2,-1.1,99,99
2020,1,2,7,40,297,10.4,13.7,1.69,6.25,4.81,320,1014.6,6.4,10.3,-1.2,99,99
2020,1,2,7,50,302,10.1,12.7,99,99,99,999,1014.5,6.4,10.3,-1.3,99,99
2020,1,2,8,0,304,9.3,11.2,99,99,99,999,1014.7,6.5,10.2,-0.7,99,99
2020,1,2,8,10,299,8.9,10.8,99,99,99,999,1015,6.5,10.2,-1.1,99,99
2020,1,2,8,20,296,8.9,11.2,99,99,99,999,1015,6.5,10.2,-1.1,99,99
2020,1,2,8,30,298,8.5,10.2,99,99,99,999,1015,6.5,10.3,-1.5,99,99
2020,1,2,8,40,295,7.9,10.1,1.62,6.25,4.78,317,1015.2,6.6,10.3,-1.5,99,99
2020,1,2,8,50,295,7.7,9.8,99,99,99,999,1015.3,6.6,10.2,-1.7,99,99
2020,1,2,9,0,291,7.2,9.1,99,99,99,999,1015.3,6.6,10.2,-1.9,99,99
2020,1,2,9,10,287,7.5,9.5,99,99,99,999,1015.3,6.6,10.2,-1.8,99,99
2020,1,2,9,20,292,7.4,9.1,99,99,99,999,1015.6,6.5,10.2,-2.1,99,99
2020,1,2,9,30,286,7.4,9.1,99,99,99,999,1015.7,6.7,10.3,-1.7,99,99
2020,1,2,9,40,281,7.1,9.1,1.33,5.88,4.62,323,1015.6,6.7,10.3,-1.8,99,99
2020,1,2,9,50,283,7.2,8.9,99,99,99,999,1015.9,6.7,10.2,-1.8,99,99
2020,1,2,10,0,276,6.9,8.9,99,99,99,999,1015.8,6.7,10.3,-2,99,99
2020,1,2,10,10,275,6.2,7.6,99,99,99,999,1015.8,6.8,10.3,-1.2,99,99
2020,1,2,10,20,282,6.7,9.1,99,99,99,999,1015.7,6.9,10.2,-1.8,99,99
2020,1,2,10,30,285,6.8,8.6,99,99,99,999,1016,6.9,10.2,-2,99,99
2020,1,2,10,40,280,6.5,8.4,1.23,5.26,4.51,313,1016.1,7,10.2,-1.5,99,99
2020,1,2,10,50,278,6.8,8.6,99,99,99,999,1016.2,7,10.3,-2,99,99
2020,1,2,11,0,281,7.5,9.4,99,99,99,999,1016.2,7.1,10.3,-1.8,99,99
2020,1,2,11,10,275,7.3,8.9,99,99,99,999,1016.2,7.2,10.3,-1.7,99,99
2020,1,2,11,20,277,7.4,9.6,99,99,99,999,1016.3,7.2,10.2,-2,99,99
2020,1,2,11,30,276,7.5,10,99,99,99,999,1016.5,7.4,10.2,-1.4,99,99
2020,1,2,11,40,269,7,8.9,1.08,5.56,4.3,324,1016.6,7.5,10.2,-1.4,99,99
2020,1,2,11,50,275,7.6,9.5,99,99,99,999,1016.6,7.5,10.2,-1.3,99,99
2020,1,2,12,0,276,7.6,9.1,99,99,99,999,1016.7,7.5,10.2,-1.3,99,99
2020,1,2,12,10,282,7.4,9.3,99,99,99,999,1016.9,7.5,10.2,-1.5,99,99
2020,1,2,12,20,274,6.9,8.6,99,99,99,999,1016.8,7.5,10.2,-1.5,99,99
2020,1,2,12,30,279,7.7,9.6,99,99,99,999,1016.9,7.6,10.2,-1.7,99,99
2020,1,2,12,40,271,7.4,9.2,1.07,5,4.26,314,1016.9,7.6,10.2,-1.8,99,99
2020,1,2,12,50,279,6.5,8,99,99,99,999,1017.1,7.7,10.2,-2,99,99
2020,1,2,13,0,280,6.4,7.8,99,99,99,999,1017.2,7.8,10.2,-1.6,99,99
2020,1,2,13,10,279,6.3,8.5,99,99,99,999,1017.2,7.9,10.2,-1.7,99,99
2020,1,2,13,20,285,5.9,7.8,99,99,99,999,1017.3,7.8,10.2,-2.3,99,99
2020,1,2,13,30,270,5.9,8.7,99,99,99,999,1017.4,7.9,10.2,-2.2,99,99
2020,1,2,13,40,271,5.7,7.1,0.92,5,4.19,321,1017.4,8,10.2,-1.8,99,99
2020,1,2,13,50,267,5.6,6.9,99,99,99,999,1017.5,8.1,10.2,-1.6,99,99
2020,1,2,14,0,260,5.3,6.5,99,99,99,999,1017.6,8.2,10.2,-1.5,99,99
2020,1,2,14,10,257,5.4,6.5,99,99,99,999,1017.7,8.2,10.2,-1.9,99,99
2020,1,2,14,20,250,5.2,6.4,99,99,99,999,1017.7,8.3,10.2,-1.5,99,99
2020,1,2,14,30,250,5.5,6.5,99,99,99,999,1017.8,8.3,10.2,-1.3,99,99
2020,1,2,14,40,247,5.8,7.7,0.88,4.55,4.2,316,1018,8.4,10.2,-0.8,99,99
2020,1,2,14,50,248,5.8,7,99,99,99,999,1018,8.5,10.2,-0.6,99,99
2020,1,2,15,0,253,6.1,8,99,99,99,999,1018,8.5,10.2,-1,99,99
2020,1,2,15,10,255,6.2,7.6,99,99,99,999,1018,8.5,10.2,-0.5,99,99
2020,1,2,15,20,250,6.4,7.7,99,99,99,999,1017.9,8.5,10.2,-0.4,99,99
2020,1,2,15,30,247,6.3,7.7,99,99,99,999,1017.5,8.5,10.2,-0.2,99,99
2020,1,2,15,40,245,6.4,7.8,0.91,4.55,4.2,312,1017.6,8.5,10.2,-0.1,99,99
2020,1,2,15,50,242,6.4,8.1,99,99,99,999,1017.3,8.5,10.2,0.3,99,99
2020,1,2,16,0,234,6,7.2,99,99,99,999,1017,8.6,10.2,0.7,99,99
2020,1,2,16,10,230,6.2,7.4,99,99,99,999,1016.9,8.5,10.2,0.2,99,99
2020,1,2,16,20,234,5.9,7,99,99,99,999,1016.7,8.6,10.2,0.4,99,99
2020,1,2,16,30,230,5.5,6.9,99,99,99,999,1016.4,8.6,10.2,0.5,99,99
2020,1,2,16,40,222,4.7,5.8,0.77,4.55,4.07,311,1016.1,8.6,10.2,0.3,99,99
2020,1,2,16,50,214,5.1,6,99,99,99,999,1016.1,8.6,10.2,0.5,99,99
2020,1,2,17,0,217,5.6,6.9,99,99,99,999,1016,8.6,10.3,0.6,99,99
2020,1,2,17,10,219,6.2,7.5,99,99,99,999,1015.8,8.7,10.2,0.8,99,99
2020,1,2,17,20,215,6.6,8,99,99,99,999,1015.7,8.7,10.2,0.9,99,99
2020,1,2,17,30,218,6.9,8.9,99,99,99,999,1015.8,8.7,10.2,1,99,99
2020,1,2,17,40,220,7.3,8.6,0.76,4.76,3.97,313,1015.8,8.8,10.3,0.7,99,99
2020,1,2,17,50,222,7.1,8.5,99,99,99,999,1015.8,8.9,10.3,0.5,99,99
2020,1,2,18,0,221,6.9,8.1,99,99,99,999,1015.7,8.9,10.3,0.7,99,99
2020,1,2,18,10,216,6.8,8.1,99,99,99,999,1015.4,8.9,10.3,0.3,99,99
2020,1,2,18,20,213,6.5,7.6,99,99,99,999,1015.5,8.9,10.3,0.4,99,99
2020,1,2,18,30,216,6.8,8,99,99,99,999,1015.4,9,10.3,-0.4,99,99
2020,1,2,18,40,214,7,8.1,0.74,4,3.79,289,1015.4,9.1,10.3,-0.5,99,99
2020,1,2,18,50,212,6.8,8,99,99,99,999,1015.2,9.2,10.3,-0.3,99,99
2020,1,2,19,0,211,7.2,8.7,99,99,99,999,1015.4,9.3,10.4,-0.8,99,99
2020,1,2,19,10,219,7.2,8.7,99,99,99,999,1015.5,9.3,10.4,0.1,99,99
2020,1,2,19,20,216,7,8.5,99,99,99,999,1015.5,9.4,10.4,1.6,99,99
2020,1,2,19,30,217,7.3,8.6,99,99,99,999,1015.5,9.5,10.4,1.6,99,99
2020,1,2,19,40,211,7.1,8.6,0.72,3.85,3.73,275,1015.3,9.5,10.3,2,99,99
2020,1,2,19,50,213,7.4,8.7,99,99,99,999,1015.3,9.5,10.3,1.8,99,99
2020,1,2,20,0,209,6.7,8.4,99,99,99,999,1015.3,9.6,10.3,2.7,99,99
2020,1,2,20,10,210,6.9,7.9,99,99,99,999,1015.2,9.7,10.3,3.2,99,99
2020,1,2,20,20,207,7,8.1,99,99,99,999,1015,9.8,10.3,3.3,99,99
2020,1,2,20,30,204,6.4,7.4,99,99,99,999,1015,10,10.3,4.2,99,99
2020,1,2,20,40,204,6.8,8.2,0.7,3.23,3.7,239,1015,10,10.3,4.4,99,99
