temp_variable,sign,trait_variable,AICc,converge
max_sst_temp_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3370.406257,TRUE
min_sst_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3370.41945,TRUE
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3370.423063,TRUE
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.423838,TRUE
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3370.431849,TRUE
min_sst_temp_change_lag8_scaled,+,length.max_ocean_scaled,3370.489602,TRUE
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.508526,TRUE
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.512289,TRUE
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.5481,TRUE
min_sst_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.560121,TRUE
max_sst_temp_lag6_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3370.563189,TRUE
min_sst_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.580219,TRUE
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.615182,TRUE
seas_sst_temp_change_abs_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3370.637005,TRUE
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3370.666172,TRUE
max_sst_temp_scaled,*,length.max_ocean_scaled,3370.695795,TRUE
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.736682,TRUE
max_sst_temp_change_abs_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3370.740512,TRUE
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3370.811251,TRUE
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.855031,TRUE
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.907058,TRUE
min_sst_temp_change_lag8_scaled,+,length.max_ocean_scaled + tl_ocean_scaled,3370.92988,TRUE
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3370.945224,TRUE
seas_sbt_temp_change_abs_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.979889,TRUE
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.98448,TRUE
min_sst_temp_lag9_scaled,*,age.maturity_ocean_scaled + length.max_ocean_scaled,3370.992144,TRUE
seas_sbt_temp_change_abs_lag2_scaled,+,age.maturity_ocean_scaled,3371.001463,TRUE
min_sbt_temp_lag7_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3371.038139,TRUE
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3371.059598,TRUE
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.064216,TRUE
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.092517,TRUE
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3371.128495,TRUE
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.157498,TRUE
