temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.958206,TRUE,12.40400599
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.986852,TRUE,12.4326515
max_sbt_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3413.011029,TRUE,12.4568285
max_sst_temp_lag4_scaled,*,age.maturity_ocean_scaled + length.max_ocean_scaled,3413.013039,TRUE,12.45883885
min_sbt_temp_scaled,*,age.max_ocean_scaled,3413.016604,TRUE,12.46240365
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3413.040069,TRUE,12.48586893
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3413.040514,TRUE,12.48631309
min_sst_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3413.048602,TRUE,12.49440146
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3413.059253,TRUE,12.50505217
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3413.071011,TRUE,12.51681102
max_sst_temp_lag8_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3413.080463,TRUE,12.5262625
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3413.092197,TRUE,12.537997
