temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
min_sbt_temp_change_abs_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3658.505026,TRUE,10.94768419
max_sst_temp_lag5_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3658.541971,TRUE,10.9846291
min_sst_temp_scaled,*,age.max_ocean_scaled,3658.542138,TRUE,10.98479616
max_sst_temp_lag4_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3658.57131,TRUE,11.01396794
max_sst_temp_lag9_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3658.58306,TRUE,11.02571842
seas_sst_temp_lag8_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3658.623267,TRUE,11.06592534
seas_sst_temp_lag8_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3658.623267,TRUE,11.06592534
max_sst_temp_lag9_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3658.624658,TRUE,11.06731618
max_sst_temp_lag9_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3658.624658,TRUE,11.06731618
seas_sst_temp_lag8_scaled,*,age.max_ocean_scaled,3658.62825,TRUE,11.07090764
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3658.708785,TRUE,11.15144312
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3658.762166,TRUE,11.20482361
seas_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3658.776398,TRUE,11.21905613
seas_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3658.78966,TRUE,11.23231829
seas_sbt_temp_lag5_scaled,*,age.max_ocean_scaled,3658.800271,TRUE,11.24292861
max_sst_temp_lag2_scaled,*,length.max_ocean_scaled,3658.804616,TRUE,11.24727392
max_sbt_temp_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3658.806695,TRUE,11.24935268
max_sst_temp_lag5_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3658.864477,TRUE,11.30713495
min_sst_temp_lag9_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3658.867159,TRUE,11.30981656
min_sbt_temp_lag10_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3658.884897,TRUE,11.32755529
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3658.938559,TRUE,11.38121679
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3658.949135,TRUE,11.39179305
max_sst_temp_lag3_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3658.966366,TRUE,11.40902416
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3658.968155,TRUE,11.41081303
min_sbt_temp_lag9_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3658.975171,TRUE,11.41782934
