variable,coef,p_value,conditional_R2,marginal_R2,AICc,deltaAICc,rel_likelihood,akaike_weight
max_sbt_temp_lag3_scaled,-0.333953318268398,0.132395487530208,0.166981341515364,0.00801954616462891,5612.5225696642,16.9541743215323,0.000208184227577255,0.000157682229724733
max_sbt_temp_lag4_scaled,-0.391828539383291,0.0724933608044003,0.165341599679125,0.0110392443648468,5611.37968581204,15.8112904693708,0.000368656502616907,0.00027922662543484
max_sbt_temp_lag5_scaled,-0.297473946082571,0.14483763563184,0.160032273761939,0.00643425243540172,5612.48352343012,16.9151280874448,0.000212288567004443,0.000160790925325537
max_sbt_temp_lag6_scaled,-0.273258387335177,0.181645113229565,0.161360509164668,0.00542293749500733,5612.92038503007,17.3519896874022,0.000170633113125652,0.000129240385093731
max_sbt_temp_lag7_scaled,-0.319195939715369,0.126597747275044,0.161126782985995,0.00735238703594982,5612.17728063479,16.6088852921193,0.000247415203678637,0.000187396429776934
max_sbt_temp_lag8_scaled,-0.506292247170927,0.0272363607201489,0.175756979985209,0.0182088585020729,5609.64612651209,14.0777311694164,0.00087712101758402,0.000664346187031632
max_sbt_temp_lag9_scaled,-0.252552738512843,0.205942116177821,0.154855254388187,0.00464892053061578,5613.03657861447,17.4681832717961,0.000161002343707224,0.000121945878619656
max_sbt_temp_lag10_scaled,-0.258482747579433,0.194146753781432,0.158445435208673,0.00489600262686989,5612.9520973473,17.3837020046285,0.000167948864593267,0.000127207290182328
min_sbt_temp_lag1_scaled,-0.346797334028447,0.0752972466384678,0.159828829177095,0.00906981641307749,5611.34236574609,15.7739704034129,0.000375600228711812,0.000284485920175774
min_sbt_temp_lag2_scaled,-0.23834137104763,0.210009551391714,0.153874645925027,0.00432984605038493,5613.09243426951,17.5240389268338,0.000156568105549525,0.000118587312180818
min_sbt_temp_lag3_scaled,-0.212477837525178,0.283786840371704,0.161248497086051,0.00341188924267079,5613.74931973584,18.1809243931684,0.000112735950308376,8.53881017867444e-05
min_sbt_temp_lag4_scaled,-0.251672327547759,0.184748585939048,0.154795292124284,0.00479440067791979,5612.83483854076,17.2664431980911,0.000178089985473343,0.000134888345423099
min_sbt_temp_lag5_scaled,-0.211163842647955,0.262853235588577,0.153997058685903,0.00340625930852077,5613.36789154529,17.7994962026214,0.00013642328700133,0.000103329288347572
min_sbt_temp_lag6_scaled,-0.283239430971447,0.133771130296118,0.155397222380582,0.00610326658317056,5612.36421390216,16.7958185594916,0.000225337950650731,0.000170674747619983
min_sbt_temp_lag7_scaled,-0.395906307316812,0.0522475755860389,0.168904863950707,0.0116365902096549,5610.69508113005,15.1266857873743,0.000519136920454452,0.000393203020720253
min_sbt_temp_lag8_scaled,-0.26585099803347,0.140989451602815,0.154786836451047,0.00532694009211098,5612.43966099406,16.871265651389,0.000216995742226036,0.000164356218879634
min_sbt_temp_lag9_scaled,-0.281266839574444,0.140628775253236,0.160696062600988,0.00590147722709658,5612.46465408983,16.8962587471615,0.000214300917613992,0.000162315113467906
min_sbt_temp_lag10_scaled,-0.174780921705376,0.338991592331378,0.152439261290637,0.00229023913863117,5613.68946358224,18.1210682395686,0.000116160916169557,8.79822284408476e-05
seas_sbt_temp_lag1_scaled,-0.0795971234990745,0.587619859730571,0.152523826268183,0.000426673483910376,5614.31391652443,18.7455211817578,8.50083908147045e-05,6.43867826346254e-05
seas_sbt_temp_lag2_scaled,-0.117698338412763,0.428376047511311,0.153816824123992,0.000908324479015831,5614.01952154838,18.451126205704,9.848925491914e-05,7.45974154733436e-05
seas_sbt_temp_lag3_scaled,-0.20346334371387,0.159227793805394,0.158850968917556,0.00278360591326783,5612.83442655952,17.2660312168528,0.000178126674118348,0.00013491613401889
seas_sbt_temp_lag4_scaled,-0.232859957517683,0.101429947747289,0.16375306129954,0.00362493027414673,5612.10564856889,16.5372532262181,0.000256437237062664,0.000194229869356868
seas_sbt_temp_lag5_scaled,-0.17332501500857,0.206579927988874,0.155237813735607,0.00203047677104022,5612.92982232615,17.3614269834816,0.000169829852164205,0.00012863198175345
seas_sbt_temp_lag6_scaled,-0.0788009085919679,0.570698908363798,0.154983427944158,0.000422201818093181,5614.25410088093,18.6857055382579,8.75892075471013e-05,6.63415365639268e-05
seas_sbt_temp_lag7_scaled,-0.011279967795669,0.929287802552161,0.154052808474056,8.64185672833191e-06,5614.54243029037,18.9740349477006,7.58299311009789e-05,5.74348631259209e-05
seas_sbt_temp_lag8_scaled,-0.227836369752063,0.0640478144768696,0.163820773030419,0.00350552294471307,5611.27546192602,15.7070665833471,0.000388377290866795,0.000294163481599977
seas_sbt_temp_lag9_scaled,-0.00913991696204185,0.939785476354788,0.154418406805413,5.72455032468629e-06,5614.60839323387,19.0399978911928,7.33697417117862e-05,5.5571474371895e-05
seas_sbt_temp_lag10_scaled,-0.111635091953626,0.346427737931295,0.161356105488444,0.000852404371041953,5614.43376740566,18.8653720629873,8.00638568157679e-05,6.06417095569219e-05
max_sbt_temp_change_scaled,0.0695822213825106,0.0479840839161567,0.156023248500877,0.000380051172615495,5610.63812604095,15.0697306982775,0.000534133180112962,0.000404561439597626
min_sbt_temp_change_scaled,0.102259296631861,0.00887483272955899,0.156996645002652,0.000820804643967774,5607.60156015257,12.0331648099018,0.00243798742719855,0.00184657261520388
seas_sbt_temp_change_scaled,-0.0196626778194769,0.590588877292324,0.155218196849044,3.04074491170761e-05,5614.27829200025,18.7098966575741,8.65361485693946e-05,6.55439320116087e-05
max_sbt_temp_change_lag1_scaled,-0.0243297711660451,0.508885995113829,0.155422862701291,4.30968656530247e-05,5614.27534889716,18.7069535544861,8.66635847138648e-05,6.56404542872942e-05
max_sbt_temp_change_lag2_scaled,0.0243747385009534,0.490192558248089,0.153917118021692,4.76355297442253e-05,5614.07422006043,18.505824717754,9.58321476444762e-05,7.25848778062846e-05
max_sbt_temp_change_lag3_scaled,0.0205945661778271,0.569698795464517,0.157201009935113,3.23704185277563e-05,5614.26831949004,18.6999241473723,8.696871743473e-05,6.58715669337609e-05
max_sbt_temp_change_lag4_scaled,-0.0285650531025609,0.424094967405074,0.154588997200645,6.49462830867858e-05,5613.88758264729,18.3191873046162,0.00010520563943424,7.96845178842917e-05
