variable,coef,p_value,AICc,deltaAICc,rel_likelihood,akaike_weight
min_sst_temp_change_lag6_scaled,0.0591083498330754,0.137967099801853,5667.80766831342,17.9602266728725,0.000125888578930209,6.57701355607362e-05
min_sst_temp_change_lag7_scaled,-0.0694901228913543,0.0739079291654788,5666.72443965047,16.8769980099296,0.000216374683985215,0.000113044347776049
min_sst_temp_change_lag8_scaled,0.0973985889293728,0.00927370714767952,5663.51883510832,13.6713934677764,0.00107471826170362,0.000561483546502125
min_sst_temp_change_lag9_scaled,-0.0762755421871034,0.0477271162713253,5665.98498399108,16.1375423505406,0.00031316787314626,0.000163613678422058
seas_sst_temp_change_lag1_scaled,-0.0368400238104237,0.33066593034907,5669.03484840834,19.1874067677982,6.8156543799278e-05,3.56081954623931e-05
seas_sst_temp_change_lag2_scaled,-0.00881586470287854,0.810812409012539,5669.9408268381,20.0933851975578,4.33288181224941e-05,2.26370197028182e-05
seas_sst_temp_change_lag3_scaled,0.0600998606090389,0.100974739322923,5667.26173056028,17.4142889197392,0.00016539988678458,8.64127077134068e-05
seas_sst_temp_change_lag4_scaled,0.00763137488363338,0.843398740969762,5669.95895109468,20.1115094541356,4.29379405802521e-05,2.24328068253724e-05
seas_sst_temp_change_lag5_scaled,-0.0591515272396686,0.111299873062971,5667.4075129845,17.560071343959,0.000153772599727899,8.03380641482788e-05
seas_sst_temp_change_lag6_scaled,-0.0612227096529282,0.103380111872322,5667.29746298686,17.450021346317,0.0001624710585709,8.48825496141986e-05
seas_sst_temp_change_lag7_scaled,0.0850638297523996,0.0243553006640782,5664.83304785111,14.9856062105637,0.000557079218137402,0.000291044477635086
seas_sst_temp_change_lag8_scaled,-0.0704202592902728,0.0556762501034102,5666.26211706545,16.4146754249014,0.000272645616952417,0.000142442939140192
seas_sst_temp_change_lag9_scaled,0.0302139414294944,0.419136224495698,5669.3362534213,19.488811780755,5.86216843118595e-05,3.06267348218075e-05
max_sst_temp_change_abs_scaled,0.139842603975339,0.000857306468155344,5658.88380350531,9.03636186476888,0.0109088495657317,0.00569929790968263
min_sst_temp_change_abs_scaled,0.0392978862270082,0.330194627496473,5669.04563738902,19.1981957484722,6.77898638971556e-05,3.54166245742718e-05
seas_sst_temp_change_abs_scaled,0.070948452754504,0.0474576303318987,5666.09208788563,16.244646245088,0.000296838267147633,0.000155082321492701
max_sst_temp_change_abs_lag1_scaled,-0.181897571344435,2.21725092505555e-05,5649.84744164054,0,1,0.522447199894111
max_sst_temp_change_abs_lag2_scaled,-0.00272939228969891,0.939195369771133,5669.99275589833,20.1453142577866,4.22182853392162e-05,2.20568249598041e-05
max_sst_temp_change_abs_lag3_scaled,0.038187941934769,0.274029731909743,5668.81234310909,18.9649014685456,7.61770185743364e-05,3.97984700504437e-05
max_sst_temp_change_abs_lag4_scaled,-0.0622271304450002,0.108079723444076,5667.26010040685,17.4126587663041,0.00016553475533803,8.64831694115102e-05
max_sst_temp_change_abs_lag5_scaled,-0.00659097138034459,0.855244937078176,5669.96440082287,20.1169591823282,4.28210997875302e-05,2.23717636803815e-05
max_sst_temp_change_abs_lag6_scaled,-0.0613601350423708,0.120088529018943,5667.4429651009,17.5955234603516,0.000151070834246018,7.89265343374992e-05
max_sst_temp_change_abs_lag7_scaled,-0.00315083085739341,0.932329721671954,5669.99152589612,20.1440842555721,4.22442576171166e-05,2.2070394103668e-05
max_sst_temp_change_abs_lag8_scaled,0.10388251245173,0.00169091885527623,5660.50576319845,10.6583215579012,0.00484813696406506,0.00253289558157893
max_sst_temp_change_abs_lag9_scaled,-0.110727624449011,0.0132426583184612,5662.98141451918,13.1339728786334,0.00140602818534795,0.000734575488407231
min_sst_temp_change_abs_lag1_scaled,-0.02726224112063,0.491816626923523,5669.86489806234,20.0174564217996,4.50053939014802e-05,2.35129420239598e-05
min_sst_temp_change_abs_lag2_scaled,0.0423993651927545,0.305152189921963,5669.34225719794,19.4948155573975,5.84459724280275e-05,3.05349346401114e-05
min_sst_temp_change_abs_lag3_scaled,-0.0448412690075008,0.277946060527107,5669.16098145047,19.3135398099312,6.39908851060313e-05,3.34318587423918e-05
min_sst_temp_change_abs_lag4_scaled,-0.0453519235856529,0.285818442370328,5668.8250010885,18.9775594479552,7.56964174720015e-05,3.95473813502628e-05
min_sst_temp_change_abs_lag5_scaled,-0.0389459775337704,0.356226937222332,5669.12635245817,19.2789108176303,6.51085026109514e-05,3.401575487839e-05
min_sst_temp_change_abs_lag6_scaled,0.05599257018421,0.183532598766272,5668.23664681173,18.3892051711891,0.000101586227755616,5.3073440238727e-05
min_sst_temp_change_abs_lag7_scaled,-0.0884287717293937,0.0444388031209462,5665.79165937096,15.9442177304163,0.000344950763638737,0.000180218560564393
min_sst_temp_change_abs_lag8_scaled,-0.0401401752252734,0.34084474363724,5669.0642930464,19.2168514058594,6.71604716545984e-05,3.50878003595127e-05
min_sst_temp_change_abs_lag9_scaled,0.0408851136122843,0.325508870276193,5669.0314554705,19.1840138299522,6.82722673907164e-05,3.56686549287018e-05
seas_sst_temp_change_abs_lag1_scaled,-0.111592768966829,0.00462882029696681,5661.5347102651,11.6872686245606,0.00289829017041019,0.00151420358401143
seas_sst_temp_change_abs_lag2_scaled,-0.0867398184167498,0.0230884440363472,5664.54538312436,14.6979414838188,0.000643254094230467,0.00033606630035113
seas_sst_temp_change_abs_lag3_scaled,0.0287227075855386,0.423272998333619,5669.35638680855,19.5089451680069,5.8034518145534e-05,3.03199715023382e-05
seas_sst_temp_change_abs_lag4_scaled,-0.049945199202547,0.203288524863965,5668.31552170255,18.4680800620017,9.76578972397362e-05,5.10210949604469e-05
seas_sst_temp_change_abs_lag5_scaled,-0.0237078178781615,0.522013530636334,5670.31497610369,20.4675344631469,3.59361346824439e-05,1.87747329398604e-05
seas_sst_temp_change_abs_lag6_scaled,-0.0135726380469517,0.713778917276267,5670.19625989415,20.3488182536084,3.81338153753647e-05,1.99229050641383e-05
seas_sst_temp_change_abs_lag7_scaled,0.0340960725586379,0.360844381106488,5669.16203290133,19.3145912607824,6.39572523123044e-05,3.34142873834845e-05
seas_sst_temp_change_abs_lag8_scaled,0.0435461476108291,0.228525294800207,5668.54951068941,18.7020690488707,8.68754977642446e-05,4.53878605463366e-05
seas_sst_temp_change_abs_lag9_scaled,0.00919969180231483,0.806642410289544,5669.94028332505,20.0928416845027,4.33405946117477e-05,2.26431722966533e-05
max_sbt_temp_scaled,-0.0966069844844443,0.645827952652336,5669.83366452159,19.9862228810462,4.57137495209839e-05,2.38830204338988e-05
min_sbt_temp_scaled,0.229862074614503,0.336385950295484,5669.52294780606,19.6755061655213,5.33971554170496e-05,2.78971943299482e-05
seas_sbt_temp_scaled,-0.204791887150456,0.164255086877665,5668.13314921168,18.2857075711345,0.000106981590942854,5.58922326283114e-05
max_sbt_temp_lag1_scaled,-0.288323608387531,0.149967771776077,5668.11084148701,18.2633998464689,0.000108181528408834,5.65191365974603e-05
max_sbt_temp_lag2_scaled,-0.274686704246966,0.19583463706218,5668.40848484345,18.5610432029071,9.3222485797219e-05,4.87038266719255e-05
max_sbt_temp_lag3_scaled,-0.302810762671141,0.125966412587828,5667.84696086634,17.9995192257984,0.000123439473777657,6.44906074315395e-05
max_sbt_temp_lag4_scaled,-0.351882389833077,0.076596949390767,5667.03865250199,17.1912108614461,0.000184916639686708,9.66091806181489e-05
max_sbt_temp_lag5_scaled,-0.292895755731072,0.135697487093433,5667.96694394478,18.1195023042337,0.000116251902025979,6.07354806958371e-05
max_sbt_temp_lag6_scaled,-0.257676879518659,0.189043433980383,5668.46126053348,18.6138188929381,9.07947179442706e-05,4.74354461551597e-05
max_sbt_temp_lag7_scaled,-0.321908869688647,0.101530818027681,5667.50832859024,17.6608869496922,0.000146213383146833,7.63887726121077e-05
max_sbt_temp_lag8_scaled,-0.467430748864183,0.0242060025635639,5665.10230205778,15.254860417238,0.000486910510413102,0.000254385032764337
max_sbt_temp_lag9_scaled,-0.19108485616502,0.334503605617948,5669.20533203648,19.3578903959324,6.2587486377333e-05,3.26986570062484e-05
max_sbt_temp_lag10_scaled,-0.030385837435294,0.877978649764496,5669.97978879797,20.1323471574306,4.24928989843361e-05,2.22002960897497e-05
min_sbt_temp_lag1_scaled,-0.32321600920614,0.0846354916192379,5667.23940690469,17.3919652641498,0.000167256393568055,8.73826344840178e-05
min_sbt_temp_lag2_scaled,-0.196076020499348,0.301437661709823,5669.07763936702,19.2301977264806,6.67137911037701e-05,3.48544333564853e-05
min_sbt_temp_lag3_scaled,-0.289928222006106,0.12046090085162,5667.79380878036,17.9463671398153,0.000126763987074635,6.62274900945561e-05
min_sbt_temp_lag4_scaled,-0.227742130198603,0.22701925912205,5668.71492206833,18.8674804277816,7.99794993791367e-05,4.17850654995627e-05
min_sbt_temp_lag5_scaled,-0.266506371456772,0.154033639113642,5668.16261459141,18.3151729508654,0.000105417017826818,5.50748257848087e-05
min_sbt_temp_lag6_scaled,-0.436090544743341,0.0218557393742864,5664.82014975302,14.9727081124802,0.000560683458805965,0.000292927503080121
min_sbt_temp_lag7_scaled,-0.588021999604776,0.00323924071817987,5661.19842500149,11.3509833609423,0.00342898259797266,0.00179146235679645
